evt_block_time,make,model,owner,tokenId,year
2023-09-01 17:56:56.000 UTC,Mitsubishi,Outlander,0x3cbafb4d89650e521fd440b12d0871af4935dc1f,21287,2007
2023-09-01 17:02:15.000 UTC,Tesla,Model Y,0xdc233773c0becb4530e4408ef656175711b873b4,21286,2022
2023-09-01 15:47:53.000 UTC,Volkswagen,Golf,0xc4216e838d2efe5508e4443d45c12f85bf04c551,21285,2018
2023-09-01 14:41:19.000 UTC,Chrysler,200,0x1889dafcbd7965eb877eb74f8806decbb4bcb906,21284,2011
2023-09-01 13:38:31.000 UTC,Mercedes-Benz,B 180,0xc4216e838d2efe5508e4443d45c12f85bf04c551,21283,2014
2023-09-01 12:57:00.000 UTC,Tesla,Model 3,0xa4e0f380d40ba690a62c5acbe94999c940aaea87,21282,2022
2023-09-01 12:33:48.000 UTC,SEAT,Ibiza,0xc4216e838d2efe5508e4443d45c12f85bf04c551,21281,2010
2023-09-01 11:45:27.000 UTC,Ford,Focus,0xc4216e838d2efe5508e4443d45c12f85bf04c551,21280,2021
2023-09-01 11:31:41.000 UTC,Volkswagen,Passat,0xc4216e838d2efe5508e4443d45c12f85bf04c551,21279,2010
2023-09-01 11:22:37.000 UTC,BMW,118d,0xc4216e838d2efe5508e4443d45c12f85bf04c551,21278,2013
2023-09-01 10:07:31.000 UTC,Audi,A3,0xc992e6d7c628341d6538da75d83e7c4f9e6dd447,21277,2010
2023-09-01 09:14:22.000 UTC,Tesla,Model Y,0x70c354e651bcffef3517c1d156b57ddbc721aa61,21276,2023
2023-09-01 08:20:55.000 UTC,SEAT,Leon,0xd90ec116a12f9e6ce548c0e1c589ee2f37ceae35,21275,2019
2023-09-01 07:13:11.000 UTC,BMW,X5,0x1e9f08e896ae4e022bc10867fd92552bd4adf179,21274,2022
2023-09-01 05:06:29.000 UTC,Tesla,Model S,0x011049a75a04da8fc0185be20faed60166ec93fa,21273,2013
2023-09-01 04:31:53.000 UTC,Volkswagen,ID.4,0xc19ad337661e3b56ffe2915e64429b13eb0d5984,21272,2023
2023-09-01 02:36:44.000 UTC,Tesla,Model 3,0x4573be7afb42c6a9d1ba689aad1e8fe3953020e7,21271,2023
2023-09-01 02:18:16.000 UTC,Tesla,Model 3,0x65bfe61350c08bc520b99d3deebd94b0e977030c,21270,2023
2023-09-01 02:16:06.000 UTC,Tesla,Model Y,0x65bfe61350c08bc520b99d3deebd94b0e977030c,21269,2023
2023-09-01 00:34:57.000 UTC,Ford,Ranger,0x7e6d6dcd7ec0bd848c4ff384f3644d41902eac8a,21268,2023
2023-08-31 23:15:03.000 UTC,Ford,Escape,0x84bc26a32ba10fb0a9c9bd4ef4c0d2ebd899ec09,21267,2022
2023-08-31 21:17:36.000 UTC,Honda,Pilot,0x61d99c12cbb5d0470e6fd72c673cddbf84c21e4d,21266,2009
2023-08-31 19:19:25.000 UTC,Tesla,Model Y,0x1741c569bedb59fc8cab7d374bf837819a7892e9,21265,2023
2023-08-31 18:04:48.000 UTC,Ford,F-150,0xca7a682c669c7765250e20c0c080363d68f1c0d5,21264,2015
2023-08-31 17:43:58.000 UTC,Hyundai,Elantra,0xbbb9d8a2ab271d316305946356d1de44bb77e0c9,21263,2017
